SELECT
  dk.district_name,
  COUNT(*) AS pending_cases
FROM cases_clean cc
JOIN dist_key dk ON cc.state_code = dk.state_code AND cc.dist_code = dk.dist_code AND cc.year = dk.year
WHERE cc.date_of_decision IS NULL
GROUP BY  dk.district_name;
         district_name          pending_cases
--------------------------------+---------------
 Patiala                                43845
 Patna                                 177017
 Pauri Garhwal                           4432
 Perambalur                              7959
 Pilibhit                               39638
 Pithoragarh                             1136
 Poonch                                  2932
 Porbandar                               7886
 Prakasham                              37336
 Pratapgarh                             64641
 Puducherry                             23568
 Pudukkottai                            14595
 Pulwama                                 3786
 Pune                                  227855
 Purba Bardhaman                        32401
 Purba Medinipur                        40616
 Puri                                   41144
 Purnea                                 35114
 Purulia                                14244
 Raebareli                              24600
 RAICHUR                                27332
 Raigad                                 58967
 Raigarh                                16906
 Raipur                                 45708
 Raisen                                 17106
 Rajgarh                                21264
 RAJKOT                                 35016
 Rajnandgaon                            12664
 Rajouri                                 7200
 Rajsamand                              21858
 RAMANAGARAM                            34211
 Ramanathapuram                         10842
 Ramban                                  1930
 RAMGARH                                    7
 Rampur                                 43438
 Ranchi                                 44252
 Rangareddy                             93554
 Ratlam                                 27091
 Ratnagiri                              17371
 Rayagada                               12399
 Reasi                                   2315
 Rewa                                   53017
 Rewari                                 22771
 Rohtak                                 24695
 Rohtas Sasaram                         63660
 Rupnagar                               16062
 Sabarkantha at Himmatnagar             27433
 Sagar                                  37727
 Saharanpur                             72152
 Saharsa                                35732
 Sahibganj                               4413
 Salem                                  38965
 Samastipur                             68412
 Samba                                   4577
 Sambalpur                              34291
 Sambhal at Chandausi                   17006
 Sangli                                 51010
 Sangrur                                27448
 Santkabir Nagar                        24979
 Saran at Chapra                        25104
 Satara                                 59935
 Satna                                  38254
 Sawai Madhopur                         17429
 SBS Nagar                               9342
 Sehore                                 15016
 Senapati                                 158
 Seoni                                  18990
 Sepahijala Tripura                      3021
 Seraikella                             10475
 Shahdara                               40390
 Shahdol                                19310
 Shahjahanpur                           56855
 Shajapur                               20073
 Shamli                                   535
 Sheikhpura                             11502
 Sheohar                                 5717
 Sheopur                                 6302
 Shimla                                 31399
 SHIVAMOGGA                             43086
 Shivpuri                               17936
 Shopian                                 3227
 Shravasti                              22606
 Siddharthnagar                         27430
 Sidhi                                  20676
 Sikar                                  46204
 Simdega                                 1539
 Sindhudurg                              9825
 Singrauli                              24651
 Sirmaur                                14016
 Sirohi                                 17772
 Sirsa                                  20535
 Sitamarhi                              44815
 Sitapur                                84848
 Sivagangai                             17859
 Sivasagar                               4742
 Siwan                                  68462
 Solan                                  24988
 Solapur                               110050
 Sonbhadra                              40566
 Sonepat                                36623
 Sonepur                                 8630
 Sonitpur                               11010
 South                                  36591
 South Dinajpur                         14809
 South East                             37750
 South Goa                              12735
 SouthTripura                            1951
 South Twenty Four Parganas            169976
 South West                             45844
 Srikakulam                             13534
 Sri Muktsar Sahib                      12538
 Srinagar                               22485
 Sultanpur                              97119
 Sundargarh                             50320
 Supaul                                 29650
 Surajpur                                8690
 SURAT                                 101123
 Surendranagar                          16218
 Surguja                                 9267
 Surguja at Ambikapur                    1220
 Tamenglong                               174
 Tapi                                    2111
 Tarn Taran                             13605
 Tehri Garhwal                           1918
 Thane                                 232209
 Thanjavur                              26423
 Theni                                  15395
 The Nilgiris                            5908
 Thiruvananthapuram                    211313
 Thoothukudi                            25441
 Thoubal                                  701
 Thrissur                              118725
 Tikamgarh                              21030
 Tinsukia                                7744
 Tiruchirappalli                        37407
 Tirunelveli                            46844
 Tiruppur                               38085
 Tiruvallur                             36539
 Tiruvannamalai                         27752
 Tiruvarur                               9096
 Tonk                                   23389
 TUMAKURU                               62396
 Udaipur                                66283
 Udalguri                                 921
 Udhampur                                5449
 Udham Singh Nagar                      37986
 UDUPI                                  22007
 Ujjain                                 48069
 Umaria                                  6612
 Una                                    22195
 Unakoti  Tripura                        1372
 Unnao                                  51762
 UTTARA KANNADA                         24788
 Uttarkashi                              1150
 Vadodara                               91071
 Vaishali                               39356
 Valsad                                 22603
 Varanasi                              105993
 Vellore                                33063
 Vidisha                                23102
 VIJAYAPURA                             35990
 Viluppuram                             36487
 Virudhunagar                           23775
